"formationid";"formationtitle";"moduleid";"moduleorder";"moduletitle";"moduledescription"
"838";"Formation MB-210 Microsoft Dynamics 365 Sales ";"93868";"3";"Gérer les objectifs avec Dynamics 365 Sales";"Dans ce module, nous allons apprendre à gérer les objectifs pour suivre le succès de votre organisation commerciale et collecter les métriques clés sur les performances de vente.<div></div><div><b>Leçons</b></div><div>Définir et suivre des objectifs individuels avec Dynamics 365 Sales</div><div>Utiliser des métriques d’objectif dans Dynamics 365 Sales</div><div>Après avoir terminé ce module, les étudiants seront capables de :</div><div>Utiliser des colonnes de cumul pour définir des métriques de vente.</div><div>Suivre les objectifs individuels pour les ventes et les équipes.</div><div></div><div></div><div></div><div></div>"
"838";"Formation MB-210 Microsoft Dynamics 365 Sales ";"93869";"4";"Analyser les données Dynamics 365 Sales";"Dans ce module, nous allons passer en revue les options d’analytique, décrire les outils de recherche et utiliser Power BI pour consulter et analyser les données de vente.<div></div><div><b>Leçons</b></div><div>Analyser les données dans Dynamics 365 Sales</div><div>Analyse des données avec Power BI</div><div>Après avoir terminé ce module, les étudiants seront capables de :</div><div>Analyser les données de vente avec les outils Dynamics 365 prêts à l’emploi</div><div>Configurer des graphiques et des tableaux de bord pour visualiser les données de vente</div><div>Utiliser Power BI et des applications de modèle Power BI pour analyser des données</div><div></div><div></div><div></div><div></div><div></div>"
"838";"Formation MB-210 Microsoft Dynamics 365 Sales ";"93870";"5";"Utilisation de Dynamics 365 Informations commerciales";"Dans ce module, vous découvrirez les fonctionnalités gratuites et premium de Dynamics 365 Informations commerciales, et comment elles peuvent permettre aux vendeurs d’établir des relations plus étroites avec leurs clients et de conclure des ventes plus rapidement.<div></div><div><b>Leçons</b></div><div>Configurez Sales Insights</div><div>Après avoir terminé ce module, les étudiants seront capables de :</div><div>Installer et configurer Informations commerciales</div><div>Utiliser le studio Assistant</div><div>Configurer l’intelligence de productivité</div><div>Configurer Informations sur les relations</div><div>Configurer des modèles prédictifs</div><div></div><div></div><div></div><div></div><div></div>"
"838";"Formation MB-210 Microsoft Dynamics 365 Sales ";"93871";"6";"Créer des enquêtes avec Dynamics 365 Customer Voice";"Dans ce module, les étudiants vont découvrir Dynamics 365 Customer Voice, outil puissant permettant de recueillir et d’analyser le sentiment des clients.<div></div><div><b>Leçons</b></div><div>Créer un projet d’enquête avec Dynamics 365 Customer Voice</div><div>Créer des enquêtes avec Dynamics 365 Customer Voice</div><div>Envoyer des enquêtes Dynamics 365 Customer Voice</div><div>Après avoir terminé ce module, les étudiants seront capables de :</div><div>Configurer des projets d’enquête pour organiser et créer des enquêtes</div><div>Créer une enquête avec des variables et des entités</div><div>Envoyer des enquêtes Dynamics 365 Customer Voice en utilisant plusieurs modalités</div><div></div><div></div><div></div><div></div><div></div><div></div>"
"839";"Formation MB-220 Microsoft Dynamics 365 Marketing";"93884";"0";"Configurer Dynamics 365 Marketing";"Dans ce module, vous allez apprendre à configurer votre instance Marketing et à configurer les paramètres avancés.<div></div><div><b>Leçons</b></div><div>Configurer et gérer Dynamics 365 Marketing</div><div>Configurer les paramètres du marketing</div><div>Authentification de domaine, bonnes pratiques pour l’e-mail et RGPD</div><div>Gérer les ressources et les paramètres de contenu</div><div>Après avoir terminé ce module, les étudiants seront capables de :</div><div>Configurer votre application Marketing.</div><div>Configurer les paramètres avancés, notamment l’organisation, la gestion métier et le contenu.</div><div>Configurer votre bibliothèque de ressources</div><div>Configurer une authentification de domaine</div><div></div><div></div><div></div><div></div><div></div><div></div><div></div><div></div>"
"839";"Formation MB-220 Microsoft Dynamics 365 Marketing";"93882";"1";"Gérer les clients dans Dynamics 365 Marketing";"Ce module explique comment gérer les clients en tant que comptes ou contacts, et comment s’en occuper pendant le cycle de vie des prospects.<div></div><div><b>Leçons</b></div><div>Gérer les comptes et les contacts</div><div>Créer et gérer des prospects</div><div>Après avoir terminé ce module, les étudiants seront capables de :</div><div>Suivre les clients en tant que comptes et contacts.</div><div>Faire du marketing basé sur des comptes.</div><div>Configurer un modèle de scoring de prospects.</div><div></div><div></div><div></div><div></div><div></div>"
"839";"Formation MB-220 Microsoft Dynamics 365 Marketing";"93881";"2";"Gérer les formulaires et pages de marketing";"Ce module couvrira la création de formulaires et de pages pour le marketing.<div></div><div><b>Leçons</b></div><div>Gérer les formulaires</div><div>Créer des pages marketing</div><div>Après avoir terminé ce module, les étudiants seront capables de :</div><div>Créer des formulaires marketing et les incorporer à des pages marketing.</div><div>Créer une page marketing.</div><div>Prévisualiser, valider et mettre en ligne une page marketing.</div><div>Créer des modèles de formulaire et de page marketing.</div><div></div><div></div><div></div><div></div><div></div><div></div>"
"839";"Formation MB-220 Microsoft Dynamics 365 Marketing";"93880";"3";"Gérer les segments et les centres d’abonnement";"Ce module explique comment créer différents types de segments, comment créer un centre d’abonnement et comment configurer une double adhésion.<div></div><div><b>Leçons</b></div><div>Créer et gérer des segments</div><div>Gérer les centres d’abonnement et la double adhésion</div><div>Après avoir terminé ce module, les étudiants seront capables de :</div><div>Créer un segment.</div><div>Créer un centre d’abonnement.</div><div>Gérer une double adhésion globale et spécifique à un formulaire.</div><div></div><div></div><div></div><div></div><div></div>"
"839";"Formation MB-220 Microsoft Dynamics 365 Marketing";"93879";"4";"Gérer les e-mails et les parcours dans Dynamics 365 Marketing";"Ce module couvre la création d’e-mails et les parcours client dans Dynamics 365 Marketing.<div></div><div><b>Leçons</b></div><div>Créer des e-mails marketing</div><div>Créer des parcours personnalisés</div><div>Gérer le contenu, les déclencheurs d’événements et les parcours dans le marketing en temps réel</div><div>Gérer les visites de sites web, les URL de redirection et les posts de réseaux sociaux</div><div>Après avoir terminé ce module, les étudiants seront capables de :</div><div>Créer et concevoir des e-mails.</div><div>Prévisualiser, valider et mettre en ligne des e-mails.</div><div>Enregistrer un e-mail en tant que modèle.</div><div>Créer un parcours client.</div><div>Utiliser le marketing en temps réel et des déclencheurs d’événements dans les parcours client.</div><div>Configurer des URL de redirection.</div><div></div><div></div><div></div><div></div><div></div><div></div><div></div><div></div><div></div><div></div>"
"839";"Formation MB-220 Microsoft Dynamics 365 Marketing";"93878";"5";"Gérer les événements";"Ce module passera en revue le processus de création du parcours client.<div></div><div><b>Leçons</b></div><div>Créer un événement</div><div>Créer un événement webinaire</div><div>Promouvoir et gérer des événements</div><div>Fonctionnalités de gestion des événements avancées</div><div>Après avoir terminé ce module, les étudiants seront capables de :</div><div>Créer un événement.</div><div>Créer un événement webinaire en utilisant Teams comme fournisseur de webinaire.</div><div>Promouvoir un événement.</div><div>Gérer le site web d’événements.</div><div>Configurer les paramètres des événements.</div><div></div><div></div><div></div><div></div><div></div><div></div><div></div><div></div><div></div>"
"839";"Formation MB-220 Microsoft Dynamics 365 Marketing";"93877";"6";"Créer des enquêtes avec Dynamics 365 Customer Voice";"Ce module va vous montrer comment créer et distribuer des enquêtes aux clients.<div></div><div><b>Leçons</b></div><div>Créer un projet d’enquête</div><div>Créer des enquêtes avec Dynamics 365 Customer Voice</div><div>Envoyer des enquêtes Dynamics 365 Customer Voice</div><div>Après avoir terminé ce module, les étudiants seront capables de :</div><div>Gérer des enquêtes en utilisant des projets.</div><div>Créer une enquête.</div><div>Personnaliser une enquête.</div><div>Distribuer une enquête aux clients.</div><div></div><div></div><div></div><div></div><div></div><div></div><div></div>"
"839";"Formation MB-220 Microsoft Dynamics 365 Marketing";"93883";"7";"Analyser les insights dans Dynamics 365 Marketing";"Dans ce module, vous allez apprendre à utiliser la fonctionnalité Insights pour afficher et analyser les données relatives à vos initiatives marketing.<div></div><div><b>Leçons</b></div><div>Évaluer les initiatives marketing avec l’analytique</div><div>Passer en revue le calendrier marketing</div><div>Après avoir terminé ce module, les étudiants seront capables de :</div><div>Utiliser des insights pour prendre des décisions sur les efforts marketing.</div><div>Noter les prospects.</div><div>Consulter des insights relatifs aux parcours client et aux e-mails.</div><div>Utiliser le calendrier marketing pour suivre vos initiatives.</div><div></div><div></div><div></div><div></div><div></div><div></div>"
"840";"Formation MB-230 Microsoft Dynamics 365 Customer Service";"93903";"0";"utiliser les cas";"Dans ce module, vous allez apprendre à utiliser des cas dans le service clientèle Dynamics 365.<div></div><div><b>Leçons</b></div><div>Leçon 1 : démarrage des cas</div><div>Leçon 2 : gestion des cas</div><div>Leçon 3 : utiliser des files d’attente pour gérer les charges de travail de cas</div><div>Leçon 4 : créer ou mettre à jour des enregistrements automatiquement</div><div>Leçon 5 : routage unifié</div><div>Après avoir terminé ce module, les étudiants seront capables de :</div><div>Créer et gérer des cas</div><div>Utilisation des files d’attente et du routage unifié</div><div>Créer ou mettre à jour des enregistrements automatiquement</div><div></div><div></div><div></div><div></div><div></div><div></div><div></div><div></div>"
"840";"Formation MB-230 Microsoft Dynamics 365 Customer Service";"93901";"1";"utiliser les droits et les contrats de niveau de service";"Dans ce module, vous allez apprendre à créer et à gérer les droits et les contrats de niveau de service<div></div><div><b>Leçons</b></div><div>Leçon 1 : créer et gérer des droits</div><div>Leçon 2 : créer et gérer des contrats de niveau de service</div><div>Après avoir terminé ce module, les étudiants seront capables de :</div><div>Créer et gérer des attributions</div><div>Créer et gérer des contrats de niveau de service</div><div></div><div></div><div></div><div></div>"
"840";"Formation MB-230 Microsoft Dynamics 365 Customer Service";"93900";"2";"utiliser la gestion des connaissances";"Dans ce module, vous allez apprendre à créer des solutions de gestion des connaissances et à utiliser des articles de base de connaissances pour résoudre des cas.<div></div><div><b>Leçons</b></div><div>Leçon 1 : créer des solutions de gestion des connaissances</div><div>Leçon 2 : utiliser des articles de base de connaissances pour résoudre des cas</div><div>Leçon 3 : créer et gérer des contrats SLA</div><div>Après avoir terminé ce module, les étudiants seront capables de :</div><div>Créer et utiliser des solutions de gestion des connaissances</div><div>Utiliser des articles de base de connaissances pour résoudre des cas</div><div></div><div></div><div></div><div></div><div></div>"
"840";"Formation MB-230 Microsoft Dynamics 365 Customer Service";"93899";"3";"créer des enquêtes avec Custom Voice";"Dans ce module, vous allez apprendre à contacter les clients à l’aide de Customer Voice Dynamics 365<div></div><div><b>Leçons</b></div><div>Leçon 1 : créer un projet d’enquête</div><div>Leçon 2 : créer des enquêtes</div><div>Leçon 3 : envoyer des enquêtes</div><div>Leçon 4 : automatiser des enquêtes</div><div>Après avoir terminé ce module, les étudiants seront capables de :</div><div>Utiliser Customer Voice Dynamics 365 pour envoyer des enquêtes aux clients et collecter des commentaires</div><div></div><div></div><div></div><div></div><div></div>"
"840";"Formation MB-230 Microsoft Dynamics 365 Customer Service";"93898";"4";"planifier des services";"Dans ce module, vous allez apprendre à planifier des services et des ressources à l’aide de la planification du service clientèle<div></div><div><b>Leçons</b></div><div>Leçon 1 : configurer la planification du service clientèle</div><div>Module 2 : planifier des services</div><div>Après avoir terminé ce module, les étudiants seront capables de :</div><div>Planifier les services et les ressources à l’aide de la planification du service clientèle Dynamics 365</div><div></div><div></div><div></div>"
"840";"Formation MB-230 Microsoft Dynamics 365 Customer Service";"93897";"5";"utiliser les espaces de travail du service clientèle Dynamics 365";"Dans ce module, vous allez apprendre à utiliser les espaces de travail du service clientèle<div></div><div><b>Leçons</b></div><div>Leçon 1 : améliorer la productivité de l’agent</div><div>Leçon 2 : gestionnaire de profils d’applications</div><div>Après avoir terminé ce module, les étudiants seront capables de :</div><div>Utiliser les espaces de travail du service clientèle pour améliorer la productivité de l’agent</div><div>Utiliser le gestionnaire de profils d’applications</div><div></div><div></div><div></div><div></div>"
"840";"Formation MB-230 Microsoft Dynamics 365 Customer Service";"93896";"6";"Omnicanal pour le service clientèle Dynamics 365";"Dans ce module, vous allez apprendre à utiliser Omnicanal pour le service clientèle Dynamics 365<div></div><div><b>Leçons</b></div><div>Leçon 1 : bien démarrer</div><div>Leçon 2 : distribution du routage et du travail</div><div>Leçon 3 : déployer un canal SMS</div><div>Leçon 4 : déployer des widgets de conversation</div><div>Leçon 5 : créer des solutions d’assistance intelligente</div><div>Après avoir terminé ce module, les étudiants seront capables de :</div><div>Utiliser Omnicanal pour le service clientèle Dynamics 365</div><div></div><div></div><div></div><div></div><div></div><div></div>"
"840";"Formation MB-230 Microsoft Dynamics 365 Customer Service";"93895";"7";"gérer l’analyse et les Insights";"Dans ce module, vous allez apprendre à utiliser des Insights dans le service clientèle pour utiliser l’intelligence artificielle (IA) dans votre solution de service clientèle Dynamics 365.<div></div><div><b>Leçons</b></div><div>Leçon 1 : démarrage</div><div>Leçon 2 : créer des visualisations</div><div>Après avoir terminé ce module, les étudiants seront capables de :</div><div>Travailler avec des Insights dans le service clientèle pour utiliser l’intelligence artificielle (IA) dans votre solution de service clientèle Dynamics 365.</div><div>Créer des visualisations dans le service clientèle</div><div></div><div></div><div></div><div></div>"
"840";"Formation MB-230 Microsoft Dynamics 365 Customer Service";"93902";"8";"utiliser un service clientèle connecté";"Dans ce module, vous allez apprendre à utiliser le service clientèle connecté pour gérer de manière proactive les scénarios de service clientèle<div></div><div><b>Leçons</b></div><div>Leçon 1 : bien démarrer</div><div>Leçon 2 : inscription et gestion des appareils</div><div>Après avoir terminé ce module, les étudiants seront capables de :</div><div>Utiliser un service clientèle connecté</div><div>S’inscrire et gérer des appareils</div><div></div><div></div><div></div><div></div>"
"840";"Formation MB-230 Microsoft Dynamics 365 Customer Service";"93894";"9";"implémenter Microsoft Power Platform";"Dans ce module, vous allez apprendre à utiliser Microsoft Power Platform pour améliorer votre solution de service clientèle Dynamics 365<div></div><div><b>Leçons</b></div><div>Leçon 1 : créer des applications personnalisées</div><div>Leçon 2 : intégrer un bot d’agents virtuels Power</div><div>Après avoir terminé ce module, les étudiants seront capables de :</div><div>Créer des applications personnalisées dans Microsoft Power Platform pour votre solution de service clientèle</div><div>Intégrer un bot d’agents virtuels Power</div><div></div><div></div><div></div><div></div>"
"841";"Formation Affinity Designer Initiation";"103245";"0";"Les concepts de base";"Les types d’images : Bitmap et Vectoriel / Périphériques de capture, d'affichage et impression.<div>Les modes colorimétrique : RVB, CMJN et les couleurs PANTONE.</div><div>Le cercle chromatique et les différentes représentations de la couleur.</div><div>Présentation des principaux formats graphiques :</div><div>Le format natif d’Affinity Photo, le AFDESIGN.</div><div>Autres formats courants : AI, PDF, PSD, EPS, PNG, TIFF, JPEG...</div><div></div>"
"841";"Formation Affinity Designer Initiation";"103246";"1";"Présentation des interfaces";"Les barres de menu, d’options, d’outils, les colonnes de panneaux<div>Les différents Persona</div><div>L’assistant</div>"
"841";"Formation Affinity Designer Initiation";"103247";"2";"Appréhender les fondamentaux";"Création d’un nouveau document<div>Paramètres prédéfinis : imprimer, impression (BAT), photo, web, périphériques</div><div>L’espace de travail</div><div>Règle, origine des règles, guides, gestionnaire de guides, grille</div><div>Magnétisme</div><div>Ajout de plans de travail</div><div>Navigation dans les plans de travail</div><div>Créations de formes simples<br></div><div>Fenêtre de sélection de couleur</div><div>Outil de sélection</div><div>Outil Noeud</div><div>Points d’ancrage</div><div>Déplacements et transformations de formes simples</div><div>L’outil Rotation</div><div>Utilisation des calques et presse papier</div><div></div>"
"841";"Formation Affinity Designer Initiation";"103248";"3";"Le Dessin";"Utilisation des outils de courbes de Bézier :<div>L’outil Plume</div><div>Outil Noeud</div><div>Options de conversion de points, d’actions, d’alignement</div>"
"841";"Formation Affinity Designer Initiation";"103249";"4";"Les attributs et le coloriage";"La barre de Contrôle dynamique et le panneau Calques<div>Modifications du contour</div><div>Modifications du remplissage</div><div>Panneau Couleur et Echantillons</div><div>Générer une palette de couleurs depuis une image</div><div>Création et modification de dégradés</div><div>Outil Remplissage</div><div>Outil Transparence</div><div>Ajout d’un contour</div><div>Transformation d’un aspect d’objet en style graphique</div><div>Panneau Symbole</div><div>Echange de styles graphique et de symboles</div>"
"841";"Formation Affinity Designer Initiation";"103250";"5";"Le Texte";"Texte libre, captif  et curviligne<div>Convertir le texte en courbes</div><div>Atelier : création d’un écusson</div><div>Style de caractère et de paragraphe</div><div>Echange de styles de caractère et de paragraphe</div><div></div>"
"841";"Formation Affinity Designer Initiation";"103251";"6";"Enregistrement, exportation, impression";"Enregistrement de base<div>Formats destinés à l’impression papier</div><div>Formats destinés au Web</div><div>Export Persona</div>"
"842";"Formation Affinity Designer Approfondissement";"103206";"0";"Maitriser les outils de sélection sous Affinity Designer";"<div style=""text-align: left;"">Outils de sélection géométrique</div><div style=""text-align: left;"">Outil lasso</div><div style=""text-align: left;"">Outil pinceau de sélection<br>Outils de modification d’image</div><div style=""text-align: left;"">Calques de réglages</div><div style=""text-align: left;""><br></div>"
"842";"Formation Affinity Designer Approfondissement";"103207";"1";"Les opérations booléennes";"Fusionner, soustraire et diviser des formes entre elles (destructif)<div>Fusionner, soustraire et diviser des formes entre elles (non-destructif)</div>"
"842";"Formation Affinity Designer Approfondissement";"103208";"2";"Combiner les personas Draw et Pixel";"Outil Pinceau<div>Travail avec des calques pixélisés</div><div>Modes de fusion et transparence des calques</div><div>Effets de calques</div><div>Couleur globale</div><div>Ajout de bruit sur une couleur</div>"
"842";"Formation Affinity Designer Approfondissement";"103209";"3";"Enregistrer pour l'imprimeur";"Export Persona<div>Exports en pdf</div><div>Traits de coupe et fond perdu</div><div>Réglages d’impression</div>"
"842";"Formation Affinity Designer Approfondissement";"103210";"4";"Enregistrer pour le web";"Persona Export<div>Outil tranche</div><div>Exporter pour le web (bitmap et vectoriel)</div><div>Panneau Options d’exportation</div><div>Préréglage</div><div>Options</div><div>Formats</div>"
"842";"Formation Affinity Designer Approfondissement";"103211";"5";"Pour aller plus loin";"Transversalités avec les logiciels de la suite Affinity :<div>- Photo</div><div>- Publisher</div><div>Export PSD vers Adobe After Effects</div>"
"843";"Formation Illustrator niveau Avancé";"103220";"0";"Réaliser d'illustrations complexes";"Fusion de plusieurs formes : Pathfinder<div>Filet des dégradés</div><div>Opérations répétées</div><div>Gestion des calques</div><div>Transparence des calques et modes de fusion</div><div>Masque d'écrétage</div><div>Modelage de contour</div><div>Modelage de motifs de remplissage</div>"
"843";"Formation Illustrator niveau Avancé";"103221";"1";"Atelier : Illustration Complexe I";"Vectorisation d'illustrations crayonnées<div>Ajustement de la vectorisation en fonction du document initial</div><div>Décomposition et nettoyage de la vectorisation</div><div>Ajustement et options de tracés</div><div>Peinture dynamique</div>"
"843";"Formation Illustrator niveau Avancé";"103222";"2";"Atelier : Illustration Complexe 2, La vectorisation dynamique";"Fusion de plusieurs formes<div>Décomposition de la forme et du fond</div><div>Dégradé de forme</div><div>Copies de segments de tracés et superposition</div><div>Utilisation de symboles avec le pulvérisateur</div><div>Options du pulvérisateur</div><div>Création de symboles</div><div>Atelier : Illustration Complexe 3, dégradé de forme, décomposition de formes, les masques, transparence, mode de fusion.</div><div></div>"
"843";"Formation Illustrator niveau Avancé";"103223";"3";"Travailler avec Illustrator et les logiciels Tiers";"Partager des bibliothèques de formes, de symboles et de motifs<div>Partager des nuanciers avec Photoshop et InDesign</div><div>Importer des documents de types DWG (parfois exports en .PDF)</div><div>Préparer des documents DWG ou exports PDF pour les travailler dans Photoshop</div><div>Importer ce documents en tant qu'objets dynamiques et les retravailler via Photoshop dans Illustrator</div><div>Intégrer le document Photoshop dans InDesign,</div><div>Atelier : transversalité entre différentes compositions Illustrator, logiciels de PAO et avec les logiciels de CAO (AutoCad, ArchiCad, etc.)</div><div></div>"
"843";"Formation Illustrator niveau Avancé";"103224";"4";"Utiliser la 3D";"Création, extrusion et révolution d'objets 3D<div>Création de lumières et applications de textures</div>"
"843";"Formation Illustrator niveau Avancé";"103225";"5";"Enregistrer et exporter";"Formats destinés à l'impression papier<div>Recouvrement et surimpression</div><div>Ajout de repères d'impression et de fonds perdus</div><div>Formats destinés au Web</div><div><br></div><div></div>"
"844";"Formation Affinity Photo Initiation";"103309";"0";"Les concepts de base d’Affinity Photo, les formats et les couleurs";"Les types d’images : Bitmap et Vectoriel / Périphériques de capture, d'affichage et impression.<div>Les modes colorimétrique : RVB, CMJN et les couleurs PANTONE.</div><div>Le cercle chromatique et les différentes représentations de la couleur.</div><div>Présentation des principaux formats graphiques :</div><div>Le format natif d’Affinity Photo, le AFPHOTO.</div><div>Autres formats courants : PDF, PSD, AI, EPS, PNG, TIFF, JPEG, ect.</div><div></div>"
"844";"Formation Affinity Photo Initiation";"103307";"1";"Présentation des interfaces d’Affinity Photo";"Les barres de menu, d’options, d’outils, les colonnes de panneaux<div>Les différents Persona</div><div>L’assistant</div>"
"844";"Formation Affinity Photo Initiation";"103306";"2";"Appréhender les fondamentaux";"Création d’un nouveau document “par défaut”<div>L’espace de travail, les préférences : performances et historique</div><div>Atelier : les caractéristiques d’une image</div><div>Ouvrir une image</div><div>Taille et résolution du document</div><div>Canevas</div><div>Les marges</div><div>Règles et repères</div><div>Les « points de vue »</div><div>Les métadonnées</div><div>Atelier 1 : Recadrer, redresser une image</div><div>Atelier 2 : Création d’un document avec du fond perdu, ajout de marges</div><div>Les outils de sélection basiques</div><div>Crée un nouveau calque d’après une sélection</div><div>Renommer les calques</div><div>Passer un calque d’un document à l’autre</div><div>Jouer sur les proportions et l’angle d’un calque</div><div>Modifier l’ordre des calques</div><div>Activer le magnétisme</div><div>Outils pinceau de sélection et sélection par dispersion</div><div>Ajout / suppression de zones de sélection</div><div>Mode masque</div><div>Ajuster la sélection</div><div>Ateliers : détourages, manipulation de calques, photomontage</div><div></div><div></div>"
"844";"Formation Affinity Photo Initiation";"103305";"3";"Corriger une image avec les outils de retouche";"Outil correcteur, outil correction des défauts, outil pinceau de retouche, outil tampon<div>Pinceau d’annulation</div><div>Gomme, gomme d’arrière plan, gomme magique</div><div>Atelier 1 : gommer des parasites présents sur une image</div><div>Atelier 2 : gommer les défauts d’un visage</div><div>Outil pinceau, remplacement de couleur</div><div>Pot de peinture</div><div>Atelier : coloriser une illustration noir et blanc</div><div>Outil tampon de duplication</div><div>Goutte d’eau, netteté, doigt</div><div>Outil densité +, Outil densité -, éponge  </div><div>Atelier : nettoyer une photo ancienne</div><div></div><div></div>"
"844";"Formation Affinity Photo Initiation";"103304";"4";"Le travail “non-destructif”";"Protéger le calque d’arrière plan<div>Choisir les outils de sélection adéquats</div><div>Naviguer parmi les calques</div><div>Utiliser les outils de retouche pour peaufiner le photomontage</div><div>Grouper les calques</div><div>Manipuler un groupe de calques</div><div>Atelier 1 : Ajouter un élément sur une photo</div><div>Atelier 2 : Supprimer un élément parasite</div><div>Les écueils de l’outil dégradé et du pot de peinture</div><div>L’alternative : créer un calque d’effet et jouer avec les effets de calques</div><div>Atelier : ajouter un logo dans une composition et rendre dynamique son aspect</div><div></div>"
"844";"Formation Affinity Photo Initiation";"103303";"5";"Comprendre les interactions entre les calques / les outils texte / les effets de calques.";"Les modes de fusion, observations<div>Les options de fusion (Gamma de mélange, carte de couverture, etc)</div><div>Les outils texte</div><div>Le calque de texte et les effets de calque</div><div>Atelier : textures et modes de fusion</div>"
"844";"Formation Affinity Photo Initiation";"103302";"6";"Travailler avec les calques de réglage et les masques de calque.";"Les réglages de bases<div>Comment une composition est affectée par un calque de réglage</div><div>Les masques de calque des calques de réglage</div><div>Appliquer un masque de calque</div><div>Atelier 1 : traiter une photo en utilisant les calques de réglage</div><div>Atelier 2 : photomontage non destructif avec les masques de calque</div>"
"844";"Formation Affinity Photo Initiation";"103301";"7";"Enregistrer pour le web";"Persona Export<div>Outil tranche</div><div>Exporter pour le web (bitmap et vectoriel)</div><div>Panneau Options d’exportation</div><div>Préréglage</div><div>Options</div><div>Formats</div><div>Atelier : Enregistrement d'images optimisées pour le web</div>"
"844";"Formation Affinity Photo Initiation";"103308";"8";"Enregister pour l’imprimeur";"Profils ICC<div>Échantillonnage</div><div>Exports en pdf</div><div>Traits de coupe et fond perdu</div><div>Réglages d’impression</div><div>Atelier : Génération d’un fichier destiné à l’impression</div>"
"844";"Formation Affinity Photo Initiation";"103300";"9";"Pour aller plus loin";"Tranversalités avec les logiciels de la suite Affinity :<div>- Designer</div><div>- Publisher</div><div>Export PSD vers Adobe After Effects</div>"
"846";"Formation Pack Office 2021 les nouveautés";"87168";"0";"Word 2021";"Améliorer votre capacité à communiquer et à assimiler des informations<div>Ajustez l’espacement du texte, la largeur des colonnes et la couleur des pages (prise en charge avancée des couleurs)</div><div>Mode sombre</div><div>Nouvel outil de lecture à voix haute (dans Révision) avec réglable selon la vitesse et le type de voix</div><div>Lire vos documents à haute voix, en mettant le texte lu en surbrillance</div><div>Consulter une page à la fois, côte à côte</div><div>Insérer facilement un modèle 3D, puis le faire pivoter à 360 degrés</div><div>Ajouter des icônes ou autres graphiques vectoriels évolutifs (SVG) à vos documents</div><div>Dessiner et écrire avec un stylo numérique</div><div>Afficher les modifications des autres en temps réel</div>"
"846";"Formation Pack Office 2021 les nouveautés";"87169";"1";"Excel 2021";"Nouvelles fonctions de calcul : SI.CONDITIONS(), JOINDRE.TEXTE(), RECHERCHEX(), LET(), EQUIVX()<div>Prise en charge fichiers CSV (UTF-8)</div><div>Protection contre la perte de données dans Excel</div><div>Tableaux croisés dynamiques : 6 nouvelles fonctions pour optimiser vos résultats : FILTRE(), TRI(), TRI.PAR(), UNIQUE(), SEQUENCE et ARRAY</div><div>Détection automatique de relations (modèle de données)</div><div>Création, modification et suppression des mesures personnalisées (optimisation lors des ajouts de calculs)</div><div>Regroupement d’heures automatique</div><div>Segment à sélection multiple</div>"
"846";"Formation Pack Office 2021 les nouveautés";"87170";"2";"Outlook 2021";"Messagerie : La boîte de réception Prioritaire<div>Calendrier : Gestion des réponses dans le cadre d’une réunion</div><div>Configurer vos appels</div><div>Traduire vos mails (près de 70 langues)</div><div>Annoter un mail ou une image dans le de mail comme avec un manuscrit (avec le doigt, le pad, le stylet ou la souris)</div>"
"846";"Formation Pack Office 2021 les nouveautés";"87171";"3";"PowerPoint 2021";"Nouvel effet de texte (surligneur comme Word)<div>Reproduire une écriture manuscrite sur une diapositive</div><div>Afficher et gérer le masque des diapositives</div><div>Nouveau zoom</div><div>Élaborer des diagrammes, présenter des séries de photos avec les graphiques SmartArt</div><div>Aligner les formes avec les nouveaux repères actifs</div><div>Combiner des formes pour créer une forme personnalisée</div><div>Insérer et modifier des images SVG (Scalable Vector Graphic) dans les présentations</div><div>Convertir des icônes SVG en formes</div><div>Une règle pour dessiner des lignes droites (écran tactile)</div><div>Suppression simplifiée de l’arrière-plan des images</div><div>Nouvelles fonctionnalités vidéo : enregistrer un diaporama avec la prise en charge de l’enregistrement, d’entrée manuscrite, de pointeur laser et de vidéo</div><div>Exportez une vidéo au format 4K</div>"
"847";"Formation Administrer des postes de travail via Azure AD & Intune ";"137703";"0";"Gestion de l'enregistrement des devices";"Ce module couvrira également la jonction Azure AD et présentera Microsoft Endpoint Manager. <div>Il enseigne également à configurer des stratégies d’inscription des appareils à Endpoint Manager et à Intune. </div><div>Leçons </div><div>Gérer l’authentification des appareils </div><div>Inscription d’appareils à l’aide de Microsoft Endpoint Configuration Manager </div><div>Inscription d’appareils à l’aide de Microsoft Intune </div><div>Labo : gérer l’inscription d’appareils dans Intune </div><div>Labo : configuration et gestion de la jonction Azure AD </div><div>Labo : inscription d’appareils dans Microsoft Intune </div><div>Après avoir terminé ce module, les étudiants seront capables de : </div><div>Configurer et joindre des appareils à Azure AD </div><div>Configurer l’inscription d’appareils dans Intune</div><div>Inscrire des appareils dans Intune</div><div><br></div>"
